date,temperature,flower_status
2020/4/10,11.6,0
2020/4/11,11.7,0
2020/4/12,11.1,0
2020/4/13,9.8,0
2020/4/14,11.9,0
2020/4/15,13.8,0
2020/4/16,12.4,0
2020/4/17,12.0,0
2020/4/18,14.6,0
2020/4/19,15.3,0
2020/4/20,10.4,0
2020/4/21,14.9,0
2020/4/22,14.0,0
2020/4/23,12.4,0
2020/4/24,13.1,0
2020/4/25,13.3,0
2020/4/26,19.0,0
2020/4/27,13.7,0
2020/4/28,13.7,0
2020/4/29,15.7,0
2020/4/30,18.2,0
2020/5/1,20.1,0
2020/5/2,20.2,0
2020/5/3,20.9,0
2020/5/4,18.7,0
2020/5/5,19.2,0
2020/5/6,16.6,0
2020/5/7,17.4,0
2020/5/8,16.7,0
2020/5/9,18.8,0
2020/5/10,20.8,0
2020/5/11,22.4,0
2020/5/12,21.1,0
2020/5/13,22.8,0
2020/5/14,20.9,0
2020/5/15,21.4,0
2020/5/16,18.6,0
2020/5/17,21.2,0
2020/5/18,19.6,0
2020/5/19,19.2,0
2020/5/20,13.9,0
2020/5/21,13.5,0
2020/5/22,15.6,0
2020/5/23,18.2,0
2020/5/24,20.7,0
2020/5/25,21.6,0
2020/5/26,20.9,0
2020/5/27,21.6,0
2020/5/28,20.7,0
2020/5/29,21.0,0
2020/5/30,22.3,0
2020/5/31,21.7,0
